active_power,poa_global,cos_aoi,dni,dhi,temperature,wind_speed
10.928,19.123769392447905,0.16934313474032447,50.54986,10.742065,17.063002,0.5
0.0,0.0,0.0,0.0,0.0,15.113,1.1661904
0.0,0.0,0.0,0.0,0.0,14.913,2.8442926
0.0,0.0,0.0,0.0,0.0,14.663,3.6124783
0.0,0.0,0.0,0.0,0.0,14.663,4.8093657
0.0,0.0,0.0,0.0,0.0,14.663,4.509989
0.0,0.0,0.0,0.0,0.0,15.063,4.204759
0.0,0.0,0.0,0.0,0.0,15.113,3.733631
0.0,0.0,0.0,0.0,0.0,14.513,3.5902646
0.0,0.0,0.0,0.0,0.0,14.113,3.3955853
0.0,0.0,0.0,0.0,0.0,13.763,2.751363
0.0,0.0,0.0,0.0,0.0,13.163,2.4698179
0.0,0.0,0.0,0.0,0.0,12.363,2.3086793
0.0,0.0,0.0,0.0,0.0,12.013,2.5019991
5.04,0.0,0.14329738748967388,0.0,0.0,12.063,2.630589
270.43,194.31973562603244,0.36573431127580136,373.99536,58.359917,13.763,2.7892652
547.993,509.53132904598476,0.55768310576359,753.76935,89.59142,16.763,2.8017852
154.53300000000002,682.7086915786934,0.7060654405900961,824.335,100.28764,18.613,3.992493
125.006,795.2937351994319,0.8007727926649595,864.94507,101.50138,19.413,4.6238513
792.0920000000001,818.7316604574279,0.8353551812092254,862.37805,96.71273,19.963001,4.5694637
780.518,761.1611459802217,0.8074604366536947,826.2187,92.43785,20.163,4.5694637
652.272,632.8218910776709,0.7189940551446495,761.57556,84.04906,20.263,4.0718546
498.103,447.9039812382181,0.5759887339746952,653.331,71.018616,20.013,3.939543
241.10400000000004,229.8241088982249,0.38819254629526406,462.83536,50.2372,18.513,3.758989
13.871,22.961194348596287,0.168403937654241,77.7686,9.991511,16.263,2.505993
0.0,0.0,0.0,0.0,0.0,14.413,2.3
0.0,0.0,0.0,0.0,0.0,13.613,2.1023796
0.0,0.0,0.0,0.0,0.0,12.963,1.5132746
0.0,0.0,0.0,0.0,0.0,12.063,1.5132746
0.0,0.0,0.0,0.0,0.0,13.813,1.6552945
0.0,0.0,0.0,0.0,0.0,14.313,0.8
0.0,0.0,0.0,0.0,0.0,14.113,0.53851646
0.0,0.0,0.0,0.0,0.0,13.363,0.5
0.0,0.0,0.0,0.0,0.0,11.313,0.7
0.0,0.0,0.0,0.0,0.0,11.213,1.5811388
0.0,0.0,0.0,0.0,0.0,10.513,1.4317821
0.0,0.0,0.0,0.0,0.0,10.113,1.264911
0.0,0.0,0.0,0.0,0.0,9.813,1.3928387
6.058,0.0,0.14123127722300569,0.0,0.0,9.663,1.3000001
271.252,201.44129728093853,0.3633951915113774,398.72675,57.30915,12.413,1.7029386
494.414,518.2191824246488,0.5551547175819581,783.6667,83.40474,16.963001,1.9416488
648.491,691.7069831024966,0.7034447143143633,851.0662,92.4012,19.213001,2.758623
751.472,781.0144062512511,0.7981631750529667,855.1395,97.272896,20.613,3.3970575
772.8539999999999,786.5633579969069,0.8328595071945669,827.72144,95.71392,21.363,4.3416586
727.434,716.7003181586524,0.8051738374191293,763.08954,101.19499,21.763,4.6400433
640.9660000000001,596.7541219997744,0.7169973920293582,702.4529,92.33849,21.863,4.404543
465.759,411.63006027587,0.5743430119122505,579.4935,78.66022,21.263,4.4553337
210.696,198.15081321050778,0.38693469301299077,376.0063,53.011284,20.113,3.8209944
13.81,18.81291049633498,0.16754424066573875,59.22421,9.018654,18.513,2.6907248
0.0,0.0,0.0,0.0,0.0,16.813002,2.7202942
0.0,0.0,0.0,0.0,0.0,15.963,2.3600848
0.0,0.0,0.0,0.0,0.0,15.213,2.3706539
0.0,0.0,0.0,0.0,0.0,15.113,2.5806975
0.0,0.0,0.0,0.0,0.0,15.063,2.5806975
0.0,0.0,0.0,0.0,0.0,15.013,2.5806975
0.0,0.0,0.0,0.0,0.0,14.863,2.5612497
0.0,0.0,0.0,0.0,0.0,14.713,2.4207437
0.0,0.0,0.0,0.0,0.0,14.613,2.280351
0.0,0.0,0.0,0.0,0.0,13.613,1.1401755
0.0,0.0,0.0,0.0,0.0,13.213,1.2727922
0.0,0.0,0.0,0.0,0.0,13.163,1.3453624
0.0,0.0,0.0,0.0,0.0,12.763,1.6552945
5.5280000000000005,0.0,0.13914030435961303,0.0,0.0,12.163,0.6708204
250.653,196.77496070765926,0.3610388791895161,391.25873,56.261215,14.263,0.41231057
494.306,525.8225341412999,0.5526197083904253,805.1399,81.05123,17.663,1.2165525
192.634,696.9236389258136,0.7008301117734271,864.71094,90.21091,19.663,2.280351
795.721,771.1775416322444,0.7955737215455272,839.0409,102.66703,21.613,3.4
906.02,774.9429346107449,0.8303983670632241,803.1269,106.93746,21.863,5.8240876
187.992,693.8730888988948,0.8029354829401664,727.52905,108.98068,21.263,6.4536815
322.072,527.9865332086176,0.7150610833209698,564.84827,124.62834,19.963001,6.963476
493.31299999999993,386.8470188392957,0.5727673212553137,516.43085,91.419426,20.363,5.7280016
129.666,194.1968968706135,0.3857534521338774,356.3682,57.223534,18.913,5.4230986
6.946,16.170791804025978,0.1667641913498596,42.195305,9.290357,17.313002,4.3908997
0.0,0.0,0.0,0.0,0.0,16.213001,3.3120992
0.0,0.0,0.0,0.0,0.0,16.113,3.2893767
0.0,0.0,0.0,0.0,0.0,15.813001,3.2893767
0.0,0.0,0.0,0.0,0.0,15.513,3.238827
0.0,0.0,0.0,0.0,0.0,15.113,3.1064448
0.0,0.0,0.0,0.0,0.0,14.513,2.4020824
0.0,0.0,0.0,0.0,0.0,13.763,1.9416487
0.0,0.0,0.0,0.0,0.0,13.613,1.5811388
0.0,0.0,0.0,0.0,0.0,13.413,1.118034
0.0,0.0,0.0,0.0,0.0,13.213,0.781025
0.0,0.0,0.0,0.0,0.0,11.713,0.44721362
0.0,0.0,0.0,0.0,0.0,10.763,0.41231057
0.0,0.0,0.0,0.0,0.0,10.013,0.2
5.04,0.0,0.13702603166453659,0.0,0.0,9.563,0.9055385
238.48600000000005,170.3381440443594,0.35866726857688375,317.88086,57.186882,11.763,1.5264337
